Secretaria_de_Atencao_Primaria_a_Saude_-_SAPS/MS_,Unnamed:_1,Unnamed:_2,Unnamed:_3,Unnamed:_4,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Unnamed:_9
3,27,4218,2342,24870,15,32355,9,3,1666
0,8,4208,3855,17800,1,27045,3,0,1362
4,10,2385,1595,21066,1,14298,3,0,1291
5,17,3266,489,20470,1,18549,3,0,640
1,5,841,231,6608,1,4985,3,0,1237
4,25,3056,2240,1601,1,17709,3,0,987
4,10,2269,995,3836,1,23159,3,0,643
1,15,1378,354,23958,1,25700,3,0,1625
2,13,259,3838,20268,1,1901,3,0,1030
1,24,1657,1240,8906,1,10878,3,0,814
1,15,1499,3172,20234,1,9802,3,0,555
1,4,1975,2530,16674,1,12601,3,0,563
1,16,818,3769,6171,1,4599,3,0,1391
2,13,257,3814,19632,1,29038,3,0,858
1,1,1615,2721,996,1,10626,3,0,803
4,25,3202,3638,16784,1,18323,3,0,1505
1,15,1375,242,16152,1,8401,3,0,1284
4,25,2925,814,24361,1,27534,8,0,0
1,9,458,917,4865,1,2783,3,0,1562
1,9,493,1879,14825,1,3018,3,0,530
1,24,1697,3279,17804,0,11122,3,0,1204
1,16,801,3603,6338,1,4537,3,0,531
1,16,818,3769,7342,1,4642,3,0,922
2,13,171,1061,18689,1,1346,3,0,915
1,4,2061,3416,16077,1,13025,3,0,0
4,25,3242,3910,24566,1,26859,3,0,852
1,19,1030,716,19979,1,6660,3,0,1590
1,4,1923,1977,23354,1,25128,3,0,1008
4,10,2114,76,2986,1,13284,3,0,848
1,4,1872,1648,12258,1,12085,3,0,613
4,18,2815,2085,19244,1,16357,3,0,1244
1,4,1971,2459,14075,1,12581,3,0,574
4,25,3034,2011,1885,1,28498,8,0,0
1,4,1887,1696,15349,1,12165,3,0,531
1,9,496,1926,19548,1,3038,3,0,1491
1,4,1939,2091,19571,1,12419,3,0,867
4,25,3086,2529,1661,1,17763,3,0,770
1,14,1183,422,24206,1,26120,3,0,600
4,10,2150,344,3328,1,13445,3,0,250
4,10,2445,1955,20864,1,14671,3,0,844
2,2,89,2031,1281,1,469,3,0,1594
1,5,920,1830,17094,1,30826,3,0,799
0,8,4028,181,10549,1,21109,3,0,1544
1,15,1491,2986,15744,1,30933,3,0,1253
4,25,3212,3394,2323,1,18372,3,0,11
4,10,2479,2179,22916,1,23874,3,0,851
1,5,998,3813,9006,1,6477,3,0,585
1,1,1601,2332,1220,1,10567,3,0,717
4,10,2372,1521,2609,1,14233,3,0,391
4,10,2297,1131,3130,1,29558,3,0,579
1,9,539,2775,4954,1,3237,3,0,1361
1,15,1491,2986,23253,1,24987,3,0,1279
4,7,2790,3618,19235,1,16075,3,0,815
1,1,1598,2199,12738,1,10556,3,0,163
2,13,225,2990,5146,1,1679,3,0,936
4,10,2390,1644,12446,1,14363,3,0,836
2,13,165,750,24497,1,26722,3,0,768
0,12,3957,2232,12274,1,20828,3,0,1212
0,8,4026,177,6577,1,21060,3,0,849
0,6,4217,524,125,1,26792,3,0,567
1,16,631,427,5341,1,3896,3,0,1604
0,12,4001,3426,24504,1,27073,3,0,0
2,2,92,2081,1407,1,607,3,0,1195
2,2,92,2081,14322,1,667,3,0,1435
4,10,2222,793,3151,1,13712,3,0,1471
5,23,3531,3834,9246,1,19338,3,0,1068
1,5,838,196,12968,1,4954,3,0,1103
4,18,2836,3050,23627,1,25342,3,0,1448
1,15,1481,2668,14984,1,9372,3,0,1049
1,15,1501,3185,11520,1,9820,3,0,1266
4,25,2980,1462,17964,1,17461,3,0,1251
4,10,2190,654,13489,1,13588,3,0,1491
0,6,4217,524,78,1,26692,3,0,1129
5,23,3466,2004,12323,1,19181,3,0,1007
0,8,4052,851,18885,1,21199,3,0,629
4,10,2579,2909,3797,1,15205,3,0,1049
4,25,2864,123,20018,1,16807,3,0,1108
2,13,162,656,5041,1,29422,3,0,1048
4,25,3228,3750,2008,1,28201,8,0,640
1,15,1448,1771,7886,1,9019,3,0,812
4,25,3191,3454,1874,1,18141,3,0,561
0,8,4026,177,19311,1,21092,3,0,937
1,14,1352,3429,14747,1,8286,3,0,640
2,13,207,4047,5609,1,24182,3,0,812
4,25,3241,3913,20392,1,18493,3,0,1645
4,10,2224,798,2922,1,13720,3,0,968
4,25,2867,151,1732,1,16815,3,0,1394
0,8,4018,59,22883,1,24410,3,0,784
1,19,1053,1536,14213,1,6784,3,0,1114
2,21,121,728,5230,0,855,3,0,965
1,4,1864,1609,23069,1,24703,3,0,592
1,4,1739,350,16235,1,11303,3,0,29
4,10,2744,3869,3212,1,15796,3,0,618
1,9,458,917,19413,1,2794,3,0,1392
1,4,1760,547,13400,1,11418,3,0,1562
5,22,3762,3166,4289,0,19966,3,0,1127
2,26,279,67,10728,1,2038,3,0,837
4,25,3230,3783,1701,1,18446,3,0,912
2,13,213,2595,17882,1,31946,3,0,792
1,15,1515,3374,15222,1,9930,3,0,782
